#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-14 16:41:51"
#data_read_from_db	"2018-03-14 20:45:51"
#database_id	1695
#datapoints_in_db	122947
#database_reference_id	0
#integrated_value	0.23	6.3
#sample_label	"pvc-green0"
#sample_name	"Hobbycolor_Guttagliss_green_(PVC)"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=7304 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	58.1579	210
#intheta	58.1579
#inphi	210
#front_integral	0.229
#incident_and_front_integral	58.1579	210	0.229
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	121969
#format: theta	phi	[uA]

89.49429	-157.49263	4.726e-05

89.43008	-157.59406	4.004e-05

89.36064	-157.70335	4.586e-05

89.29581	-157.80479	4.488e-05

89.23468	-157.90126	5.623e-05

89.16154	-158.01631	5.178e-05

89.09746	-158.11707	4.999e-05

89.03120	-158.22072	5.392e-05

88.97090	-158.31580	5.549e-05

88.90157	-158.42517	5.495e-05

88.83607	-158.52814	5.789e-05

88.76537	-158.63899	5.513e-05

88.69984	-158.74269	4.872e-05

88.63214	-158.84929	6.416e-05

88.56290	-158.95874	6.019e-05

88.49686	-159.06180	6.215e-05

88.43219	-159.16414	6.841e-05

88.36457	-159.27078	1.307e-04

88.29853	-159.37460	2.672e-04

88.23244	-159.47914	4.095e-04

88.16573	-159.58371	6.020e-04

88.09899	-159.68900	6.963e-04

88.03078	-159.79646	8.518e-04

87.96332	-159.90324	9.916e-04

87.88828	-160.02936	1.134e-03

87.81967	-160.12904	1.272e-03

87.75229	-160.23587	1.327e-03

87.68949	-160.33484	1.372e-03

87.61767	-160.44890	1.414e-03

87.55044	-160.55508	1.454e-03

87.47729	-160.67062	1.520e-03

87.40871	-160.77831	1.551e-03

87.34088	-160.88528	1.586e-03

87.27309	-160.99229	1.629e-03

87.18209	-161.14383	1.666e-03

87.13087	-161.21716	1.706e-03

87.06248	-161.32498	1.748e-03

86.98818	-161.44217	1.792e-03

86.92714	-161.54639	1.835e-03

86.85229	-161.65721	1.881e-03

86.78851	-161.75793	1.907e-03

86.71362	-161.87668	1.954e-03

