#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-21 12:27:15"
#data_read_from_db	"2018-03-21 13:08:09"
#database_id	1805
#datapoints_in_db	127652
#database_reference_id	0
#integrated_value	0.22	6.3
#sample_label	"layer_020_030"
#sample_name	"Layered:_#20_on_top_of_#30"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=131 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	31.3158	0
#intheta	31.3158
#inphi	0
#front_integral	0.221
#incident_and_front_integral	31.3158	0	0.221
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	126567
#format: theta	phi	[uA]
89.98886	36.93012	3.012e-05
89.96958	36.88928	3.503e-05
89.95260	36.85418	3.337e-05
89.93727	36.82194	3.751e-05
89.92026	36.78685	3.659e-05
89.90249	36.74673	3.483e-05
89.88667	36.71595	2.977e-05
89.87016	36.68158	4.126e-05
89.85136	36.64291	3.679e-05
89.83540	36.60999	4.006e-05
89.81599	36.56990	3.733e-05
89.79938	36.53483	4.039e-05
89.78333	36.50119	2.959e-05
89.76501	36.46327	3.362e-05
89.74783	36.42821	3.555e-05
89.72947	36.39030	4.256e-05
89.71168	36.35381	3.373e-05
89.69441	36.31805	3.758e-05
89.67828	36.28444	4.091e-05
89.66029	36.24510	3.733e-05
89.63970	36.20578	3.240e-05
89.62182	36.16932	4.062e-05
89.60566	36.13644	4.149e-05
89.58775	36.09999	3.849e-05
89.57040	36.06496	4.089e-05
89.55132	36.02637	3.844e-05
89.53387	35.98993	4.204e-05
89.51589	35.95350	4.514e-05
89.49789	35.91706	4.296e-05
89.47569	35.86991	3.786e-05
89.46192	35.84564	3.044e-05
89.44269	35.80636	3.610e-05
89.42577	35.77208	4.340e-05
89.40650	35.73281	4.740e-05
89.38844	35.69712	4.003e-05
89.36861	35.65786	4.165e-05
89.35048	35.62146	3.857e-05
89.33233	35.58506	4.540e-05
